RowIndex,Old_Total,New_Total,Old_ObjectNames,New_ObjectNames,Old_Makers,New_Makers,Old_Organisations/Institutions,New_Organisations/Institutions,Old_Dates,New_Dates,Old_Places,New_Places,Old_Descriptions,New_Descriptions,Old_Other,New_Other,Unique_to_Old,Unique_to_New
0,8,6,1,1,1,0,0,1,2,1,1,0,2,1,1,2,"{""object_names"": [""five old thermometers by Micheli du Crest""], ""makers"": [""Micheli du Crest""], ""organisations/institutions"": [], ""dates"": [""1754""], ""places"": [""Florentine""], ""descriptions"": [""the small one is an alcohol thermometer"", ""the Florentine scale""], ""other"": [""Inv. 1876-733""]}","{""object_names"": [""Thermometer""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1754""], ""places"": [], ""descriptions"": [""A type of thermometer, possibly one of a set of five, made by Micheli du Crest in 1754. It is described as being an alcohol thermometer with a Florentine scale.""], ""other"": [""Presented by Prof. Dr. E. Hagenbach-Bischoff"", ""This photograph represents""]}"
1,12,15,1,2,1,2,2,2,1,1,0,4,4,2,3,2,"{""object_names"": [""STANDARD MERCURIAL THERMOMETER""], ""makers"": [], ""organisations/institutions"": [""The Royal Society""], ""dates"": [""latter part of the eighteenth century""], ""places"": [], ""descriptions"": [""standard instrument made for the Royal Society"", ""large spherical bulb at the end of a capillary tube 24 in. long"", ""mounted on a thick brass scale which is graduated in half degrees from $-20^{\\circ}$ to $535^{\\circ}$ F., on both sides of the stem"", ""The brass scale is cut across at the $40^{\\circ}$ F. graduations, the lower portion being hinged to the upper"", ""three standard points of reference on this thermometer, namely, freezing point of water, boiling point of water, and the melting point of tin""], ""other"": [""Inv. 1893-137"", ""S.M. 1448"", ""L.S""]}","{""object_names"": [""standard mercury thermometer"", ""Meteorology mercury thermometer""], ""makers"": [""Dollond family, London""], ""organisations/institutions"": [""Royal Society, London""], ""dates"": [""1875-1893""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Standard mercury Fahrenheit (-10 to +530 degrees) thermometer"", ""mercury thermometer""], ""other"": [""Dollond family""]}"
2,9,13,1,1,1,1,0,1,1,1,1,4,3,3,2,2,"{""object_names"": [""STANDARD MERCURIAL THERMOMETER""], ""makers"": [""Adams, Fleet Street""], ""organisations/institutions"": [], ""dates"": [""about the end of the eighteenth century""], ""places"": [""Fleet Street""], ""descriptions"": [""mercury-in-glass instrument having a spherical bulb and a long and fairly large capillary tube, thereby securing a wide temperature range"", ""mounted on a brass scale graduated in intervals of $20^{\\circ}$ from $-30^{\\circ}$ to $710^{\\circ}$ F."", ""upon which are indicated the melting and boiling points of various substances, and other fixed temperatures""], ""other"": [""Lent by G. J. Symons, Esq., F.R.S."", ""Inv. 1893-139""]}","{""object_names"": [""Standard mercury thermometer""], ""makers"": [""George Adams, London, England""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1780-1800""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""in glazed mahogany case"", ""with silvered scale"", ""range (-30 to +700 degrees Fahrenheit)"", ""Meteorology mercury thermometer; thermometer; mercury thermometer; thermometer""], ""other"": []}"
3,10,14,2,2,1,1,1,1,1,1,0,4,3,3,2,2,"{""object_names"": [""STANDARD MERCURIAL THERMOMETER""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""mercury-in-glass thermometer mounted on a brass scale graduated in half degrees from 0\u00b0 to 215\u00b0 F."", ""enclosed in a mahogany box""], ""other"": [""R.S. No. 7"", ""Inv. 1893-136""]}","{""object_names"": [""Royal Society standard thermometer"", ""Standard mercury thermometer""], ""makers"": [""Troughton & Simms, London""], ""organisations/institutions"": [], ""dates"": [""1826-1832""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""in mahogany case"", ""marked instrument number 7"", ""Meteorology mercury thermometer""], ""other"": []}"
4,8,11,1,2,1,2,1,1,1,1,0,4,3,1,1,0,"{""object_names"": [""MERCURIAL THERMOMETER""], ""makers"": [""Pastorelli""], ""organisations/institutions"": [""The Meteorological Office""], ""dates"": [], ""places"": [], ""descriptions"": [""The graduations range from $-60^{\\circ}$ to $+100^{\\circ}$ F."", ""There is no inscription at the back of the frame to show on what expeditions it was employed"", ""it is said to have been used on H.M.S. \u201cFox,\u201d""], ""other"": [""Inv. 1908-90""]}","{""object_names"": [""Mercury thermometer"", ""Meteorology thermometer""], ""makers"": [""Pastorelli and Company""], ""organisations/institutions"": [], ""dates"": [""1857""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""thermometer""], ""other"": []}"
5,13,13,1,3,2,2,1,1,2,1,0,4,6,2,1,0,"{""object_names"": [""THERMOM\u00c8TRE FRONDE""], ""makers"": [""L. Casella, Esq.""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1830"", ""1877""], ""places"": [], ""descriptions"": [""Modification by Arago"", ""instrument is a modification of the *thermom\u00e8tre fronde* originally designed by Arago in 1830 for ascertaining the true temperature of the air without a thermometer screen"", ""The thermometer is enclosed in its perforated metal case, when it is rapidly swung above the head about six times by means of a silk cord"", ""The temperature indicated will then be found to be almost precisely that of a thermometer in a Stevenson screen"", ""By this method more accurate results are obtainable than by exposure on stands of ordinary construction"", ""(See Q. J. R. Met. Soc.""], ""other"": [""Inv. 1893-154""]}","{""object_names"": [""Sling thermometer"", ""thermom\u00e8tre fronde"", ""Meteorology sling thermometer""], ""makers"": [""L. Casella"", ""Louis P."", ""Renou""], ""organisations/institutions"": [""London, England"", ""United Kingdom""], ""dates"": [""1871-1879""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""the \""thermom\u00e8tre fronde\"""", ""sling thermometer""], ""other"": []}"
6,12,7,1,2,1,2,2,0,3,1,2,0,3,1,2,1,"{""object_names"": [""SPIRIT THERMOMETER""], ""makers"": [""Pastorelli""], ""organisations/institutions"": [""The Meteorological Office"", ""Meteorological Office""], ""dates"": [""1850\u201351"", ""1857\u201359"", ""7th October, 1851""], ""places"": [""Arctic"", ""H.M.S. \u201cResolute\u201d"", ""H.M.S. \u201cFox\u201d"", ""Fox Yacht""], ""descriptions"": [""instrument, which is graduated from $-60^{\\circ}$ to $+120^{\\circ}$ F."", ""This thermometer being nearly a mean of 11 others tried at temperatures varying between zero and -46\u00b0 was selected as a standard for the winter, and was placed accordingly on the fixed ice 15 yards from the ship. It is thus marked in order that comparative measures may hereafter be made with it as also any with reference to the journal kept by the officers of Resolute."", ""This Ther. shewing on several occasions -39\u00b0, mercury began to con- solidate, -39.5\u00b0 it was no longer in a fluid state, and at 40\u00b0 it could have been propelled by powder.""], ""other"": [""Horatio Austin"", ""Inv. 1908-91""]}","{""object_names"": [""Spirit thermometer"", ""thermometer""], ""makers"": [""Pastorelli and Company""], ""organisations/institutions"": [], ""dates"": [""1849""], ""places"": [], ""descriptions"": [""graduated from -60 degrees F. to +120 degrees F."", ""Meteorology""], ""other"": []}"
7,9,9,1,1,1,2,1,0,2,1,0,4,3,1,1,0,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""The Meteorological Office""], ""dates"": [""1851""], ""places"": [], ""descriptions"": [""Graduated from -90\u00b0 to +100\u00b0 F."", ""This thermometer was used on board the Arctic ship \u2018Assistance\u2019 during the winter of 1850\u201351 for registering the temperature of the air on deck."", ""9th August, 1851.""], ""other"": [""Inv. 1908-92""]}","{""object_names"": [], ""makers"": [""John Frederick""], ""organisations/institutions"": [], ""dates"": [""1850""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology thermometer; thermometer""], ""other"": []}"
8,7,6,1,1,1,2,1,0,2,1,0,0,1,2,1,0,"{""object_names"": [""SPIRIT THERMOMETER""], ""makers"": [""Hicks""], ""organisations/institutions"": [""The Meteorological Office""], ""dates"": [""1883\u20134""], ""places"": [], ""descriptions"": [""The graduations range from -70\u00b0 to +120\u00b0 F.""], ""other"": [""Used by Sir Geo. Nares, 1883\u20134"", ""Inv. 1908-93""]}","{""object_names"": [""Spirit thermometer""], ""makers"": [""Hicks"", ""Hicks, James Joseph""], ""organisations/institutions"": [], ""dates"": [""1883""], ""places"": [], ""descriptions"": [""graduated from -70 degrees F. to +120 degrees F."", ""Meteorology thermometer; thermometer""], ""other"": []}"
9,11,5,1,1,1,0,1,1,4,1,1,0,1,1,2,1,"{""object_names"": [], ""makers"": [""Pastorelli""], ""organisations/institutions"": [], ""dates"": [""October, 1851"", ""1851"", ""1857\u20139""], ""places"": [""Fox Yacht""], ""descriptions"": [""This thermometer is graduated from -70\u00b0 to +120\u00b0 F.""], ""other"": [""From Capt. Penny"", ""Inv. 1908-94""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""A spirit thermometer made by Pastorelli for the Meteorological Office, presented in 1851 by Captain Penny for comparison with other instruments.""], ""other"": [""Science Museum Group""]}"
