RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
0,,1876-733,Whole,5,THERMOMETERS BY MICHELI DU CREST,donated,THERMOMETERS BY MICHELI DU CREST,"This photograph represents five old thermometers by Micheli du Crest, 1754; the small one is an alcohol thermometer with the Florentine scale.",,,"[{'name': 'Micheli du Crest', 'role': 'Maker'}, {'name': 'Prof. Dr. E. Hagenbach-Bischoff', 'role': 'Presented by'}]",,1754,alcohol,,"This photograph represents five old thermometers by Micheli du Crest, 1754; the small one is an alcohol thermometer with the Florentine scale.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Prof. Dr.']}"
1,,"1893-137, S.M. 1448, L.S.",Whole,N/A,STANDARD MERCURIAL THERMOMETER,loaned,STANDARD MERCURIAL THERMOMETER,"This thermometer, which dates from about the latter part of the eighteenth century, is a standard instrument made for the Royal Society. It consists of a large spherical bulb at the end of a capillary tube 24 in. long, mounted on a thick brass scale which is graduated in half degrees from $-20^{\circ}$ to $535^{\circ}$ F., on both sides of the stem. The brass scale is cut across at the $40^{\circ}$ F. graduations, the lower portion being hinged to the upper. There are three standard points of reference on this thermometer, namely, freezing point of water, boiling point of water, and the melting point of tin.",,,"[{'name': 'Dollond', 'role': 'maker'}, {'name': 'The Royal Society', 'role': 'recipient'}]",,latter part of the eighteenth century,mercurial; brass,24 in.,"This thermometer, which dates from about the latter part of the eighteenth century, is a standard instrument made for the Royal Society. There are three standard points of reference on this thermometer, namely, freezing point of water, boiling point of water, and the melting point of tin.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
2,STANDARD,1893-139,Whole,N/A,MERCURIAL THERMOMETER,loaned,STANDARD MERCURIAL THERMOMETER,"This old standard thermometer was made by Adams of Fleet Street, and dates from about the end of the eighteenth century. It is a mercury-in-glass instrument having a spherical bulb and a long and fairly large capillary tube, thereby securing a wide temperature range. The thermometer is mounted on a brass scale graduated in intervals of $20^{\circ}$ from $-30^{\circ}$ to $710^{\circ}$ F., and upon which are indicated the melting and boiling points of various substances, and other fixed temperatures.",,mercury,"[{'name': 'Adams', 'role': 'maker'}, {'name': 'G. J. Symons', 'role': 'donor'}]",['Fleet Street'],about the end of the eighteenth century,mercury;glass;brass,graduated in intervals of $20^{\circ}$ from $-30^{\circ}$ to $710^{\circ}$ F.,"This old standard thermometer was made by Adams of Fleet Street, and dates from about the end of the eighteenth century. It is a mercury-in-glass instrument having a spherical bulb and a long and fairly large capillary tube, thereby securing a wide temperature range. The thermometer is mounted on a brass scale graduated in intervals of $20^{\circ}$ from $-30^{\circ}$ to $710^{\circ}$ F., and upon which are indicated the melting and boiling points of various substances, and other fixed temperatures.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
3,,Inv. 1893-136,Whole,N/A,STANDARD MERCURIAL THERMOMETER,loaned,STANDARD MERCURIAL THERMOMETER,"This standard mercurial thermometer was made by Troughton and Simms for the Royal Society during the first half of the nineteenth century, and a label attached inside the box refers to the instrument as R.S. No. 7. It is a mercury-in-glass thermometer mounted on a brass scale graduated in half degrees from $0^{\circ}$ to $215^{\circ}$ F., and enclosed in a mahogany box.",,mercury,"[{'name': 'Troughton & Simms', 'role': 'maker'}]",,first half of the nineteenth century,mercury;glass;brass;mahogany,graduated in half degrees from $0^{\circ}$ to $215^{\circ}$ F.,This standard mercurial thermometer was made by Troughton and Simms for the Royal Society during the first half of the nineteenth century.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
4,,1908-90,Whole,N/A,MERCURIAL THERMOMETER,loaned,MERCURIAL THERMOMETER,"The graduations range from $-60^{\circ}$ to $+100^{\circ}$ F. There is no inscription at the back of the frame to show on what expeditions it was employed, but it is said to have been used on H.M.S. “Fox,” in 1857.",,,"[{'name': 'Pastorelli', 'role': 'maker'}, {'name': 'The Meteorological Office', 'role': 'donor'}]",,,,-60^{\circ} to +100^{\circ} F,"Said to have been used on H.M.S. “Fox,” in 1857.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['H.M.S.']}"
5,1830,1893-154,Whole,N/A,THERMOMÈTRE FRONDE,loaned,Thermomètre Fronde,"This instrument is a modification of the thermomètre fronde originally designed by Arago in 1830 for ascertaining the true temperature of the air without a thermometer screen. The thermometer is enclosed in its perforated metal case, when it is rapidly swung above the head about six times by means of a silk cord. The temperature indicated will then be found to be almost precisely that of a thermometer in a Stevenson screen. By this method more accurate results are obtainable than by exposure on stands of ordinary construction.",,,"[{'name': 'L. Casella', 'role': 'Lender'}, {'name': 'Arago', 'role': 'Designer'}]",,1830,metal,,This instrument is a modification of the thermomètre fronde originally designed by Arago in 1830 for ascertaining the true temperature of the air without a thermometer screen. By this method more accurate results are obtainable than by exposure on stands of ordinary construction.,Q. J. R. Met. Soc. 1877,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
6,,1908-91,Whole,N/A,SPIRIT THERMOMETER,loaned,SPIRIT THERMOMETER,"This instrument, which is graduated from $-60^{\circ}$ to $+120^{\circ}$ F., was used in Arctic expeditions on board H.M.S. “Resolute” (Captain Sir H. Austin, R.N., 1850–51), and on board H.M.S. “Fox” (Captain, afterwards Admiral, Sir F. L. McClintock, R.N., 1857–59). On the back is written :— “This thermometer being nearly a mean of 11 others tried at temperatures varying between zero and -46° was selected as a standard for the winter, and was placed accordingly on the fixed ice 15 yards from the ship. It is thus marked in order that comparative measures may hereafter be made with it as also any with reference to the journal kept by the officers of Resolute. “This Ther. shewing on several occasions -39°, mercury began to con- solidate, -39.5° it was no longer in a fluid state, and at 40° it could have been propelled by powder. H.M. ‘Resolute,’ 7th October, 1851, Horatio Austin.” “Fox Yacht, 1857–9.”",,mercury began to consolidate,"[{'name': 'Pastorelli', 'role': 'maker'}, {'name': 'The Meteorological Office', 'role': 'lender'}, {'name': 'Sir H. Austin', 'role': 'user'}, {'name': 'Sir F. L. McClintock', 'role': 'user'}, {'name': 'Horatio Austin', 'role': 'user'}]",[],,['mercury'],['$-60^{\\circ}$ to $+120^{\\circ}$ F.'],"This instrument, which is graduated from $-60^{\circ}$ to $+120^{\circ}$ F., was used in Arctic expeditions on board H.M.S. “Resolute” (Captain Sir H. Austin, R.N., 1850–51), and on board H.M.S. “Fox” (Captain, afterwards Admiral, Sir F. L. McClintock, R.N., 1857–59). On the back is written :— “This thermometer being nearly a mean of 11 others tried at temperatures varying between zero and -46° was selected as a standard for the winter, and was placed accordingly on the fixed ice 15 yards from the ship. It is thus marked in order that comparative measures may hereafter be made with it as also any with reference to the journal kept by the officers of Resolute. “This Ther. shewing on several occasions -39°, mercury began to con- solidate, -39.5° it was no longer in a fluid state, and at 40° it could have been propelled by powder. H.M. ‘Resolute,’ 7th October, 1851, Horatio Austin.” “Fox Yacht, 1857–9.”",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
7,,1908-92,Whole,N/A,,loaned,SPIRIT THERMOMETER,"Made by Newman. Lent by The Meteorological Office. 1850–51 Graduated from -90° to +100° F. At the back it is inscribed :—“This thermometer was used on board the Arctic ship ‘Assistance’ during the winter of 1850–51 for registering the temperature of the air on deck. 9th August, 1851.” “Fox Yacht, 1857–9.” Inv. 1908-92.",,,"[{'name': 'Newman', 'role': 'maker'}, {'name': 'The Meteorological Office', 'role': 'donor'}]",,1850-51,,-90° to +100° F,This thermometer was used on board the Arctic ship ‘Assistance’ during the winter of 1850–51 for registering the temperature of the air on deck.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
8,,1908-93,Whole,N/A,,loaned,SPIRIT THERMOMETER,"Made by Hicks. Lent by The Meteorological Office. 1883–4 The graduations range from -70° to +120° F. It is marked at the back:—“Used by Sir Geo. Nares, 1883–4.” Inv. 1908-93.",,,"[{'name': 'Hicks', 'role': 'maker'}, {'name': 'The Meteorological Office', 'role': 'donor'}, {'name': 'Sir Geo. Nares', 'role': 'user'}]",,1883–4,['spirit'],['-70° to +120° F'],,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
9,,1908-94,Whole,N/A,SPIRIT THERMOMETER,loaned,SPIRIT THERMOMETER,"Made by Pastorelli. Lent by The Meteorological Office. 1851 This thermometer is graduated from -70° to +120° F. It is inscribed at the back:—“From Capt. Penny, October, 1851, for examination with a second thermometer and an aneroid barometer.” “Fox Yacht, 1857–9.” Inv. 1908-94.",,,"[{'name': 'Pastorelli', 'role': 'maker'}, {'name': 'Capt. Penny', 'role': 'associated person'}]",,1851,,-70° to +120° F,"This thermometer is graduated from -70° to +120° F. It is inscribed at the back:—“From Capt. Penny, October, 1851, for examination with a second thermometer and an aneroid barometer.” “Fox Yacht, 1857–9.”",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
